segment length,Step Length,filters,kernel size,stacks,dropout,lr,dilation,Training Time,train loss,train acc,eval acc,Eval Acc
2400,400,64,11,1,0.175,0.0125,7,1021.5793444080043,0.07157598435878754,0.9739359021186828,0.7896066904067993,0.9814453125
2400,300,16,6,1,0.175,0.0125,8,623.9300270380045,0.049243725836277015,0.9840674996376038,0.9741922616958618,0.98095703125
2400,100,32,11,1,0.175,0.0125,7,1374.3038933140049,0.0062909312546253204,0.9978470802307128,0.7992079854011536,0.9755859375
3600,200,16,16,1,0.175,0.0125,7,687.3371118649957,0.003532413160428405,0.9990020394325256,0.8677383065223694,0.97509765625
3600,500,64,8,1,0.175,0.0125,8,1001.530655406008,0.047085855156183236,0.9827075600624084,0.7485504150390625,0.97509765625
3600,400,32,8,1,0.175,0.0125,8,669.669270562008,0.01177958585321903,0.9960727095603944,0.8972596526145935,0.97314453125
2400,400,32,11,1,0.175,0.0125,7,560.0125432159983,0.019868100062012672,0.9934994578361512,0.8244135975837708,0.97021484375
2400,200,64,6,2,0.175,0.0125,7,2413.018931931991,0.00931591633707285,0.996949315071106,0.905798077583313,0.96923828125
2400,200,64,6,1,0.175,0.0125,8,1322.871101355995,0.012295352295041084,0.9958343505859376,0.7274643182754517,0.96875
2400,500,32,6,2,0.175,0.0125,7,705.395506988978,0.03862177580595017,0.9870044589042664,0.7799445986747742,0.96728515625
3600,400,32,16,2,0.175,0.0125,6,1765.4792478050222,0.09119461476802826,0.9658074378967284,0.8678479194641113,0.966796875
2400,200,16,6,2,0.175,0.0125,7,751.2635007860082,0.026957670226693157,0.9912196397781372,0.8323130011558533,0.96630859375
2400,200,32,11,1,0.175,0.0125,7,591.8989155500021,0.017277434468269348,0.99406898021698,0.7625543475151062,0.96484375
3600,100,16,16,1,0.175,0.0125,7,1245.7765507680015,0.003838148666545749,0.9988614916801452,0.8506894707679749,0.9638671875
2400,500,32,6,1,0.175,0.0125,8,410.04785556899145,0.02422453835606575,0.9912976026535034,0.8528531789779663,0.962890625
2400,100,16,6,2,0.175,0.0125,7,1574.0198490369946,0.01154260616749525,0.996615707874298,0.8974188566207886,0.962890625
3600,100,32,8,1,0.175,0.0125,8,1988.9195494290036,0.001352735562250018,0.9995867013931274,0.8711215257644653,0.9609375
2400,400,32,6,1,0.175,0.0125,8,768.8933777470082,0.011282142251729963,0.9961615800857544,0.8849377036094666,0.9609375
3600,500,32,16,2,0.175,0.0125,6,1371.4109813870164,0.09058185666799544,0.964830994606018,0.8792372941970825,0.9580078125
2400,400,64,6,1,0.175,0.0125,8,985.4843261659844,0.045188937336206436,0.9833771586418152,0.7678357362747192,0.95703125
2400,300,32,6,1,0.175,0.0125,8,638.3456294710048,0.02640889957547188,0.9908622503280641,0.978230893611908,0.95361328125
2400,500,64,6,1,0.175,0.0125,8,724.7842546380125,0.038822583854198456,0.9864242672920228,0.8245983123779297,0.9521484375
3600,100,16,8,1,0.175,0.0125,8,1162.788208072976,0.008701230399310589,0.9972941279411316,0.8634287714958191,0.9521484375
3600,200,16,8,1,0.175,0.0125,8,573.817575093999,0.028614459559321407,0.9909717440605164,0.7884349226951599,0.9521484375
3600,200,16,16,2,0.175,0.0125,6,891.1504598500032,0.03305821493268013,0.9894904494285583,0.8398526310920715,0.9521484375
2400,100,64,6,2,0.175,0.0125,7,4339.004102381994,0.016564348712563515,0.9943776130676271,0.8093241453170776,0.95166015625
3600,100,32,16,2,0.175,0.0125,6,3610.835297509999,0.025828592479228973,0.991414487361908,0.9299726486206056,0.9501953125
2400,500,64,6,2,0.175,0.0125,7,1165.7428959719834,0.041635461151599884,0.9858828186988832,0.7553462386131287,0.94873046875
2400,100,32,6,1,0.175,0.0125,8,1171.8786336900087,0.005413081496953964,0.9982730150222778,0.8597495555877686,0.94873046875
2400,500,32,11,1,0.175,0.0125,7,311.1546277820016,0.046474497765302665,0.9847611784934998,0.8503600955009459,0.94775390625
2400,100,16,11,1,0.175,0.0125,7,609.3039034979884,0.012550691142678259,0.996151089668274,0.8331946730613708,0.9462890625
2400,300,64,6,2,0.175,0.0125,7,3123.541722501017,0.018710633739829063,0.9935332536697388,0.963652491569519,0.94140625
3600,200,64,8,1,0.175,0.0125,8,2072.452729129989,0.009565430693328379,0.996569573879242,0.8212770819664001,0.93994140625
2400,200,64,11,1,0.175,0.0125,7,1443.202807947993,0.02262857370078564,0.9927062392234802,0.8380800485610962,0.93896484375
2400,400,64,6,2,0.175,0.0125,7,1553.521638767008,0.04025906324386597,0.98591548204422,0.8055691123008728,0.93310546875
2400,400,16,11,1,0.175,0.0125,7,219.16410283799632,0.06850472092628479,0.9767218828201294,0.8350108861923218,0.93212890625
2400,100,16,6,1,0.175,0.0125,8,663.8778125449899,0.023257801309227943,0.9921627640724182,0.8744689822196959,0.931640625
2400,300,16,6,2,0.175,0.0125,7,659.1898263620096,0.05555850639939308,0.981654167175293,0.917323350906372,0.9248046875
